GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
11001007403,140,11,001,47900,548,,,Census Tract 74.03,2859,1180,2308,1040,2859,2308
11001001902,140,11,001,47900,548,,,Census Tract 19.02,1969,861,2062,855,1969,2062
11001002001,140,11,001,47900,548,,,Census Tract 20.01,2340,1026,2435,1128,2340,2435
11001002002,140,11,001,47900,548,,,Census Tract 20.02,3813,1436,3781,1395,3813,3781
11001002101,140,11,001,47900,548,,,Census Tract 21.01,5309,2183,5233,2163,5309,5233
11001002102,140,11,001,47900,548,,,Census Tract 21.02,4648,2173,4631,2197,4648,4631
11001002201,140,11,001,47900,548,,,Census Tract 22.01,3442,1186,3505,1190,3442,3505
11001002600,140,11,001,47900,548,,,Census Tract 26,2166,1001,2184,990,2166,2184
11001007000,140,11,001,47900,548,,,Census Tract 70,2812,1268,2132,1133,2812,2132
11001007100,140,11,001,47900,548,,,Census Tract 71,2911,1461,2818,1204,2911,2818
11001007200,140,11,001,47900,548,,,Census Tract 72,2794,2370,1825,911,2794,1825
11001007301,140,11,001,47900,548,,,Census Tract 73.01,3012,991,5234,1450,3012,5234
11001007304,140,11,001,47900,548,,,Census Tract 73.04,3546,1376,4665,1622,3546,4665
11001007401,140,11,001,47900,548,,,Census Tract 74.01,2414,935,2996,971,2414,2996
11001007502,140,11,001,47900,548,,,Census Tract 75.02,4541,1898,4221,1745,4541,4221
11001007503,140,11,001,47900,548,,,Census Tract 75.03,2425,1000,2515,979,2425,2515
11001009509,140,11,001,47900,548,,,Census Tract 95.09,2940,1320,2898,1280,2940,2898
11001009601,140,11,001,47900,548,,,Census Tract 96.01,2445,847,2343,867,2445,2343
11001009602,140,11,001,47900,548,,,Census Tract 96.02,3280,1545,3106,1367,3280,3106
11001009603,140,11,001,47900,548,,,Census Tract 96.03,3373,1750,3230,1768,3373,3230
11001009604,140,11,001,47900,548,,,Census Tract 96.04,1962,998,1982,1001,1962,1982
11001009700,140,11,001,47900,548,,,Census Tract 97,3177,1307,2309,984,3177,2309
11001009811,140,11,001,47900,548,,,Census Tract 98.11,4365,1979,3778,1894,4365,3778
11001009901,140,11,001,47900,548,,,Census Tract 99.01,2249,1070,2302,1074,2249,2302
11001000501,140,11,001,47900,548,,,Census Tract 5.01,3376,2186,2765,1878,3376,2765
11001001804,140,11,001,47900,548,,,Census Tract 18.04,4480,1924,4156,1923,4480,4156
11001001901,140,11,001,47900,548,,,Census Tract 19.01,4016,1603,3949,1601,4016,3949
11001002502,140,11,001,47900,548,,,Census Tract 25.02,5973,2415,5486,2061,5973,5486
11001004701,140,11,001,47900,548,,,Census Tract 47.01,3986,2138,3017,1265,3986,3017
11001006804,140,11,001,47900,548,,,Census Tract 68.04,3670,13,2628,186,3670,2628
